group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
60x180,120,0.5,3.0,0.7,0.2,50,30256.90479492277
60x180,60,0.5,3.0,0.3,0.1,50,30079.652140822982
60x180,120,0.5,3.0,0.3,0.2,100,30055.691964168633
60x180,120,0.5,3.0,0.3,0.2,50,29905.11699022331
60x180,120,1.5,3.0,0.3,0.2,100,29903.45599680661
60x180,30,1.5,3.0,0.3,0.1,100,29564.93579892236
60x180,120,1.5,3.0,0.3,0.2,50,29470.54418277408
60x240,120,1.5,3.0,0.3,0.1,100,37512.824466406084
60x240,120,0.5,3.0,0.3,0.1,50,37232.4119571111
60x240,60,1.5,3.0,0.3,0.2,100,36802.86856443884
60x240,60,1.5,3.0,0.3,0.2,50,36665.88890268761
60x240,120,1.5,3.0,0.3,0.2,100,36638.593547469376
60x240,60,0.5,3.0,0.3,0.1,50,36552.44371479456
60x240,60,1.5,3.0,0.3,0.1,100,36544.39186011235
60x240,120,0.5,3.0,0.3,0.2,100,36516.85750698061
60x240,60,0.5,3.0,0.3,0.2,100,36450.70882620655
60x240,120,1.5,3.0,0.3,0.1,100,36446.153227214614
60x60,120,0.5,3.0,0.3,0.1,100,10591.855089785005
60x60,120,0.5,3.0,0.3,0.2,50,10484.969943549171
60x60,120,0.5,3.0,0.3,0.2,100,10289.151164498535
60x60,60,1.5,3.0,0.3,0.2,100,10151.130315969263
60x60,60,0.5,3.0,0.7,0.2,50,9959.12119753276
60x60,60,1.5,3.0,0.3,0.1,100,9850.691113806566
60x60,60,0.5,3.0,0.3,0.2,50,9809.231651595817
60x60,30,0.5,3.0,0.3,0.1,100,9734.424982723665
60x60,120,0.5,3.0,0.3,0.1,50,9672.400107556734
60x60,120,1.5,3.0,0.3,0.1,100,9651.487727239477
80x160,160,0.5,3.0,0.3,0.1,100,28832.414855611245
80x160,160,0.5,1.0,0.3,0.2,50,27137.051778339544
80x160,80,0.5,3.0,0.7,0.1,100,27110.07676489748
80x160,160,0.5,3.0,0.3,0.2,50,26567.491541199302
80x160,80,1.5,3.0,0.3,0.2,50,26523.75944074306
80x160,160,1.5,3.0,0.3,0.2,50,26479.389320220038
80x160,160,0.5,3.0,0.3,0.2,100,26252.306550551206
80x160,160,0.5,3.0,0.7,0.1,50,26033.67496710468
80x160,80,0.5,3.0,0.3,0.1,50,25862.623476728706
80x160,80,0.5,3.0,0.3,0.2,50,25764.966636177396
80x240,160,0.5,3.0,0.3,0.1,100,39084.62374808704
80x240,160,0.5,3.0,0.3,0.2,100,38882.80244630121
80x240,160,1.5,3.0,0.3,0.2,50,38428.066832313016
80x240,80,0.5,3.0,0.3,0.1,100,38135.80052707221
80x240,80,0.5,3.0,0.3,0.2,50,38065.49114395748
80x240,160,0.5,3.0,0.3,0.1,50,38050.895667250996
80x240,80,1.5,3.0,0.3,0.1,50,37939.67806665175
80x240,80,1.5,3.0,0.3,0.1,100,37796.19735224704
80x240,40,0.5,3.0,0.7,0.2,50,37712.31322108696
80x240,160,0.5,3.0,0.7,0.1,50,37695.69637253734
80x320,160,1.5,3.0,0.3,0.1,50,52130.826867105556
80x320,80,0.5,3.0,0.7,0.1,50,51058.74040222957
80x320,160,0.5,3.0,0.7,0.2,50,50942.84451929426
80x320,160,0.5,3.0,0.3,0.2,100,50752.54361241187
80x320,80,0.5,3.0,0.3,0.2,50,50722.368724360495
80x320,160,0.5,3.0,0.3,0.2,50,50686.460025002605
80x320,160,1.5,3.0,0.3,0.1,100,50651.9238684173
80x320,40,0.5,3.0,0.7,0.1,100,50458.72748405175
80x320,80,1.5,3.0,0.3,0.1,50,50366.88460602455
80x320,160,0.5,3.0,0.7,0.1,100,50333.78685285543
80x80,160,0.5,3.0,0.3,0.2,100,12446.88289072425
80x80,80,0.5,3.0,0.7,0.2,100,12182.356725699377
80x80,160,0.5,3.0,0.3,0.2,100,12180.109371604764
80x80,40,0.5,3.0,0.3,0.2,50,12148.410979664228
80x80,160,0.5,3.0,0.3,0.1,100,12140.065940798213
80x80,160,0.5,3.0,0.3,0.1,50,12094.874493774469
80x80,80,0.5,3.0,0.3,0.2,100,11867.476231035414
80x80,160,0.5,3.0,0.3,0.2,50,11824.164732385114
80x80,40,0.5,3.0,0.3,0.1,50,11820.105291552318
80x80,160,0.5,3.0,0.7,0.1,50,11804.82804065199
